station_id,station_name,lon,lat,sample_date,depth1,depth2,parameter,flag,value,unit
009,ÅROS (ÅRO-206),10.49855327915167,59.711477351412555,2007-11-14 00:00:00,1.0,1.0,P-PO4-F,=,5.7,µg/l P
009,ÅROS (ÅRO-206),10.49855327915167,59.711477351412555,2005-08-01 00:00:00,1.0,1.0,TOC,=,8.8,mg/l C
009,ÅROS (ÅRO-206),10.49855327915167,59.711477351412555,2000-06-20 00:00:00,1.0,1.0,N-TOT,=,880.0,µg/l N
009,ÅROS (ÅRO-206),10.49855327915167,59.711477351412555,2005-01-03 00:00:00,1.0,1.0,TOC,=,6.2,mg/l C
009,ÅROS (ÅRO-206),10.49855327915167,59.711477351412555,2005-05-02 00:00:00,1.0,1.0,N-TOT,=,1100.0,µg/l N
009,ÅROS (ÅRO-206),10.49855327915167,59.711477351412555,2005-10-03 00:00:00,1.0,1.0,TOC,=,7.0,mg/l C
009,ÅROS (ÅRO-206),10.49855327915167,59.711477351412555,2001-10-25 00:00:00,1.0,1.0,TOC,=,6.0,mg/l C
009,ÅROS (ÅRO-206),10.49855327915167,59.711477351412555,2008-08-05 00:00:00,1.0,1.0,N-TOT,=,667.0,µg/l N
009,ÅROS (ÅRO-206),10.49855327915167,59.711477351412555,2007-11-14 00:00:00,1.0,1.0,TOC,=,5.6,mg/l C
009,ÅROS (ÅRO-206),10.49855327915167,59.711477351412555,2002-04-23 00:00:00,1.0,1.0,TOC,=,4.4,mg/l C
009,ÅROS (ÅRO-206),10.49855327915167,59.711477351412555,2008-05-07 00:00:00,1.0,1.0,N-TOT,=,1086.0,µg/l N
009,ÅROS (ÅRO-206),10.49855327915167,59.711477351412555,2005-04-04 00:00:00,1.0,1.0,TOC,=,6.0,mg/l C
009,ÅROS (ÅRO-206),10.49855327915167,59.711477351412555,2005-10-03 00:00:00,1.0,1.0,N-TOT,=,3000.0,µg/l N
009,ÅROS (ÅRO-206),10.49855327915167,59.711477351412555,2008-07-02 00:00:00,1.0,1.0,N-TOT,=,1100.0,µg/l N
009,ÅROS (ÅRO-206),10.49855327915167,59.711477351412555,2001-10-25 00:00:00,1.0,1.0,N-TOT,=,1100.0,µg/l N
009,ÅROS (ÅRO-206),10.49855327915167,59.711477351412555,2004-09-01 00:00:00,1.0,1.0,TOC,=,8.1,mg/l C
009,ÅROS (ÅRO-206),10.49855327915167,59.711477351412555,2004-08-03 00:00:00,1.0,1.0,TOC,=,6.8,mg/l C
009,ÅROS (ÅRO-206),10.49855327915167,59.711477351412555,2004-07-05 00:00:00,1.0,1.0,TOC,=,5.6,mg/l C
009,ÅROS (ÅRO-206),10.49855327915167,59.711477351412555,2004-06-07 00:00:00,1.0,1.0,TOC,=,5.8,mg/l C
009,ÅROS (ÅRO-206),10.49855327915167,59.711477351412555,2007-01-03 00:00:00,1.0,1.0,TOC,=,5.8,mg/l C
009,ÅROS (ÅRO-206),10.49855327915167,59.711477351412555,2007-06-06 00:00:00,1.0,1.0,TOC,=,5.6,mg/l C
009,ÅROS (ÅRO-206),10.49855327915167,59.711477351412555,2004-11-24 00:00:00,1.0,1.0,TOC,=,5.7,mg/l C
009,ÅROS (ÅRO-206),10.49855327915167,59.711477351412555,2007-03-07 00:00:00,1.0,1.0,TOC,=,5.3,mg/l C
009,ÅROS (ÅRO-206),10.49855327915167,59.711477351412555,2004-08-10 00:00:00,1.0,1.0,TOC,=,5.9,mg/l C
009,ÅROS (ÅRO-206),10.49855327915167,59.711477351412555,2008-04-02 00:00:00,1.0,1.0,TOC,=,5.0,mg/l C
009,ÅROS (ÅRO-206),10.49855327915167,59.711477351412555,2008-05-07 00:00:00,1.0,1.0,TOC,=,5.0,mg/l C
